id,title
1,Urban Development Grant (UDG) - Belfast
2,Access to Work - London
3,Co-operative and Community Finance
4,Year in Industry
5,The Queen's Awards for Enterprise - Innovation
6,The Queen's Awards for Enterprise - International Trade
7,The Queen's Awards for Enterprise - Sustainable Development
8,Small Business Assistance Grant - Inverclyde
9,Work Trials
10,Advisory Services - Fermanagh
11,SIGNAL Centre of Business Excellence - North Down
12,Business Mentoring - Scotland
14,Innovators Counselling and Advisory Service - Scotland
15,SAB Development Grants - Aberdeenshire
16,SAB Rental Grants - Aberdeenshire
17,Rural Shop Support Scheme - Aberdeenshire
18,SAB Interest-Free Loans - Aberdeenshire
19,SAB Low-Interest Loans - Aberdeenshire
20,WRDC Loan Fund - Wigtownshire
21,Business Training and Support - West Dunbartonshire
22,Interest-Free Loan - East Lothian
23,Property Support Grant - East Renfrewshire
24,Skills and Business Growth Programme - Glasgow
25,Property Assistance Scheme - Inverclyde
26,Small Business Loan Scheme - Inverclyde
27,SAB Sustainable Business Grant - Aberdeenshire
28,Tourism Financial Assistance Scheme - Shetland Islands
29,Craigmillar Business Incubator
30,Small Business Loan Fund - Glasgow
31,Scottish Co-Investment Fund
32,SAB Job Creation Grants - Aberdeenshire
33,Opportunity Fund - Highlands
34,Crofting Counties Agricultural Grants Scheme - Scotland
35,Enterprise Fellowships - Scotland
36,Proof of Concept Programme - Scotland
37,Creative Scotland
38,Business Support - Glasgow
39,Recruitment Support - Glasgow
40,HR Advice - Glasgow
42,Support for Social Economy Organisations - Glasgow
43,Property Assistance - Glasgow
44,Skills for Small Business Programme - North Glasgow
45,Community Enterprise Loan Fund - Highlands
46,Comprehensive Development Schemes - Northern Ireland
47,Royal Society Industry Fellowships Scheme
48,Commercial Improvement Area Grants - Bridgend
49,Industrial Improvement Area Grants - Bridgend
50,Regeneration Funding Support - Bridgend
51,Business Planning Grant - Newport
52,Business Security Grant - Newport
53,Information and Communication Technology Grant - Newport
54,New Technology Training Scheme Grant - Newport
56,Kick Start Grant - Blaenau Gwent
57,Caerphilly Bisnet Project
59,Neath Port Talbot Loan Fund
60,Business Services - Newport
61,Pembrokeshire County Council Food Initiative
62,Building Improvement Grant - Rhondda Cynon Taff
66,Beef and Sheep Development Programme - Wales
67,Farming Connect - Wales
69,EU Culture Programme (2007-2013)
70,Denbighshire Business Advice
71,International Opportunities Fund (IOF) - Wales
72,The Queen Elizabeth Scholarship Trust (QEST) - Craft Grants
73,Business Advice and Training to Co-operatives and Credit Unions - Wales
74,Doing Business with the Council - Darlington
75,Coed Cymru - Wales
76,Hartlepool Enterprise Development Fund
77,Jobs Creation Grant - Hartlepool
78,Women's Development Fund - Enterprise Award - Hartlepool
79,Business Start-up Advice - South Tyneside
81,Employment Relations - Great Britain
82,Year in Employment Scheme
83,Market Development Grant - Angus
84,Marketing Support Grant - Eden
85,Farm Link - Cumbria
86,Tourism Development Grant - Pendle
87,Start-up Support - Pendle
88,EV Growth Fund
89,Arts and Disability Awards - Northern Ireland
90,Travel Awards - Northern Ireland
91,TransACTlite - Nottinghamshire
92,Enterprise Grant Scheme - Bassetlaw
93,Derbyshire Arts Partnership Artists Marketing Grant - Derbyshire
94,Economic Development Support - North Kesteven
95,Growing Real Opportunities for Women (GROW) - Northern Ireland
96,Small Business Loan - Midlands
97,Business Support and Advice - Coventry
98,Business Initiative Advice - North Staffordshire
99,Business Support - Stafford
100,Built Environment Initiative - Historic Buildings/Structures Repair Grants - Nidderdale
101,Built Environment Initiative - Building Repair Grants - Nidderdale
102,Business Expansion Grant - Scarborough
103,Business Start-Up Grant - Scarborough
104,General Loan Fund - North East Lincolnshire
105,Rural Rate Relief Scheme - Kirklees
106,Agricultural Support - West Devon
107,Hardship Relief - Bedford
108,Business Advice - East of England
109,Business Advisory Service - Lewisham
110,Prince's Scottish Youth Business Trust (PSYBT) - Finance
111,Specialist Consultancy - North Tyneside
112,AONB Project Fund - Howardian Hills
113,Townscape Heritage Initiative Scheme (THI)
114,Leisure Grant Fund - Support for Individuals - Eden
115,Tourism Grants - Eden
116,Rural Business Rate Relief - Eden
117,Grants for the Arts for Individuals and Organisations - England
118,Buildings Improvement Grant - Knowsley
119,Women in Business Loan Fund - North West
121,Conservation Grant Scheme - Tamworth
122,Training and Business Support - Norfolk
123,Woodland Improvement Grant (WIG) - England
124,Leisure Development Grants - Spelthorne
125,Small Grants Scheme - Tandridge
126,Business Support - Hastings
127,Marches Energy Agency - West Midlands
128,Business Support and Advice - Tewkesbury Borough
129,Half Day Awareness Seminar - UK
130,Community Project Fund - East Hampshire
131,City Action - Greater London
132,Cumbria Waste Management Environment Trust
133,Arts Capital Grants - South Cambridgeshire
134,Awareness Workshops - Northern Ireland
135,Growth Loans - London
136,West of Scotland Loan Fund (WSLF) - Helensburgh and Lomond
137,West of Scotland Loan Fund (WSLF) - East Dunbartonshire
138,West of Scotland Loan Fund (WSLF) - East Renfrewshire
139,West of Scotland Loan Fund (WSLF) - North Ayrshire
140,West of Scotland Loan Fund - Renfrewshire
141,West of Scotland Loan Fund (WSLF) - South Ayrshire
142,West of Scotland Loan Fund - West Dunbartonshire
143,PSYBT Growth Fund Development Loan
144,PSYBT Growth Fund Accelerator Loan
145,Landfill Communities Fund
146,Business Support Service - North East
147,Fredericks Foundation Loans
148,Fredericks Foundation Business Advice and Support
149,Business Advisers - Colchester and Tendring
150,Business Incubation Centre - Colchester and Tendring
151,Start-up Advice - Colchester and Tendring
152,Creative Skills Support - Cornwall
153,Business Mentor - Teesdale
154,Business Start-Up Process - Teesdale
155,Marketing Support Grant - South Lakeland
156,General Business Advice - Teesdale
157,Marketing Adviser - Teesdale
158,Human Resources Adviser - Teesdale
159,High Growth Adviser - Teesdale
160,Small Business Rate Relief - Eden
161,Coalfields Enterprise Fund - North West England
162,Coalfields Funds - Kent
163,Coalfields Funds - North East England
